SampleID,Date,Study_day,ADH,ADD,ARF_sector,Sorting1,Sorting,Treatment,Gravimetric,pH,EC,  Na (ug/gdw soil) ,  K (ug/gdw soil) ,  mg (ug/gdw soil) ,  Ca (ug/gdw soil) ,  Al (ug/gdw soil) ,  Cu (ug/gdw soil) ,  Fe (ug/gdw soil) ,  Mn (ug/gdw soil) ,  Zn (ug/gdw soil) ,  Co (ug/gdw soil) ,  S180 (ug/gdw soil) ,  P (ug/gdw soil) ,  B (ug/gdw soil) ,  Se (ug/gdw soil) ,  S182 (ug/gdw soil) ,  Na (umolcharge/gdw soil) ,  K (umolcharge/gdw soil) ,  Mg (umolcharge/gdw soil) ,  Ca (umolcharge/gdw soil) 
D3_J_con_09Apr2021,44295,0,0,0,1_J,a_con,a_4.9,D3_con,0.535882747,7.575,69.88,1.490036997,57.50603617,13.91342005,199.3838878,7.147073811,0.039395888,1.854250522,0.329422928,0.045214445,0.001490711,8.851232691,1.646056182,0.671551885,0.008079497,6.979745154,0.064813045,1.470806561,1.144901876,9.949792294
D3_J_gr_09Apr2021,44295,0,0,0,1_J,b_4.9,a_4.9,D3_grave,0.530427626,6.92,55.185,2.135366221,41.45682021,12.1768869,161.0175111,11.07171577,0.045353188,2.528050149,0.564067467,0.063262428,0.001482648,10.91041588,2.324059812,0.570340946,0.021735367,9.245785628,0.092883323,1.060322833,1.002006739,8.035206901
D3_H_con_09Apr2021,44295,0,0,0,2_H,a_con,a_4.9,D3_con,0.349828105,7.51,54.05,2.889222683,13.70300081,6.151646457,97.51495958,11.73470113,0.042834528,4.105483515,0.577935557,0.036304419,0.004258362,4.876741401,0.386471127,0.299736571,0.003347318,3.940820153,0.125674275,0.350475617,0.506204193,4.866258774
D3_H_gr_09Apr2021,44295,0,0,0,2_H,b_4.9,a_4.9,D3_grave,0.296225732,7.57,44.06,2.220426697,13.73643046,4.714041077,67.37808336,7.461158025,0.041784226,3.916777175,0.413489439,0.035866585,0.00232961,4.000394213,0.373986738,0.253401021,0.004574387,3.310306438,0.09658325,0.351330632,0.387907104,3.36234759
D3_F_con_09Apr2021,44295,0,0,0,3_F,a_con,a_4.9,D3_con,0.365179861,7.615,103.915,1.270684802,21.18849617,6.612579265,171.3349448,7.541126538,0.074035578,1.533331063,0.727346602,0.02394193,0.004067736,5.892289337,0.712791979,0.407656181,-0.000639763,4.304952569,0.055271749,0.541928835,0.544133245,8.550074594
D3_F_gr_09Apr2021,44295,0,0,0,3_F,b_4.9,a_4.9,D3_grave,0.294816266,6.78,41.185,3.570578864,12.73510236,4.530886865,43.81061967,10.94821119,0.033773252,2.206459845,1.115486289,0.034730119,0.007380023,6.203642761,0.485995901,0.346423916,-0.000166544,5.614914768,0.155311639,0.325720105,0.372835784,2.186267761
D3_J_con_12Apr2021,44298,3,1305,54.4,1_J,a_con,b_4.12,D3_con,0.461015085,7.155,53.995,1.779155072,53.37848694,11.95148588,161.5190883,8.15948162,0.047226112,2.346644492,0.495349529,0.041524631,-0.000141549,7.662944278,1.545706051,0.509828104,0.005363149,6.082436298,0.07738899,1.365238052,0.983459031,8.060236951
D3_J_gr_12Apr2021,44298,3,1305,54.4,1_J,c_4.12,b_4.12,D3_grave,0.537827431,7.285,76.405,3.487937997,48.90572963,14.01051186,203.8010283,6.547920918,0.045989547,1.566789628,0.345019009,0.030369149,-0.00074764,10.09288252,2.252691665,0.483875254,0.019853497,8.075315906,0.151716959,1.250840308,1.152891328,10.17021949
D3_H_con_12Apr2021,44298,3,1305,54.4,2_H,a_con,b_4.12,D3_con,0.320929229,7.56,43.835,2.577389294,16.41914157,6.737005617,111.2897039,11.93151257,0.04675777,4.224308889,0.689995539,0.043264823,0.00742947,5.075253136,0.565251179,0.267917225,0.011829891,4.016873741,0.112110269,0.419945153,0.554371991,5.553655568
D3_H_gr_12Apr2021,44298,3,1305,54.4,2_H,c_4.12,b_4.12,D3_grave,0.327260611,7.635,34.07,3.722498148,10.39195726,5.185049629,86.08418225,7.273983086,0.035899048,3.133621107,0.301816366,0.018957126,0.002146357,3.532981275,0.350102469,0.174314983,0.010794401,2.7235283,0.161919765,0.265790514,0.426665265,4.29583224
D3_F_con_12Apr2021,44298,3,1305,54.4,3_F,a_con,b_4.12,D3_con,0.368623985,7.81,112.15,1.598734242,14.21431308,7.06065362,177.7189753,6.495952479,0.069406728,1.32733086,0.618106313,0.024223189,0.003364361,6.288147421,0.745847317,0.30707018,0.005693254,4.61903846,0.069541115,0.363553225,0.581004207,8.868654886
D3_F_gr_12Apr2021,44298,3,1305,54.4,3_F,c_4.12,b_4.12,D3_grave,0.28995714,7.005,36.965,5.841358283,13.04000303,7.378559696,69.33341598,13.48388124,0.047909241,3.363678308,1.010234752,0.059370004,0.011472441,6.977086204,0.456746958,0.174485566,0.002878322,6.13430375,0.254085112,0.333518415,0.607163933,3.459923947
D3_J_con_14Apr2021,44300,5,2143,89.9,1_J,a_con,c_4.14,D3_con,0.399005077,7.535,51.4,1.357675005,47.24775866,11.44609491,169.3730883,7.527865669,0.076970194,1.77996353,0.416085504,0.033668752,0.000434573,6.685235507,1.397126547,0.586563476,0.003776012,5.036080627,0.059055615,1.208435115,0.941871624,8.452172676
D3_J_gr_14Apr2021,44300,5,2143,89.9,1_J,d_4.14,c_4.14,D3_grave,0.46914211,7.2,127.7,13.69426086,43.86186584,12.85059286,179.9806424,7.685494296,0.04466782,1.795223191,0.424788186,0.034585991,-0.000871115,9.258095187,2.156952874,0.481220081,0.017683649,7.436573473,0.595667589,1.121835626,1.057444383,8.981518159
D3_H_con_14Apr2021,44300,5,2143,89.9,2_H,a_con,c_4.14,D3_con,0.276138689,7.47,41.275,1.763511485,10.78687918,5.248040518,85.4414047,12.70169774,0.028501831,3.953371953,0.615693806,0.03614891,0.004709223,3.70780008,0.316963569,0.187727757,-0.000388586,2.85926935,0.076708531,0.275891258,0.431848633,4.263755911
D3_H_gr_14Apr2021,44300,5,2143,89.9,2_H,d_4.14,c_4.14,D3_grave,0.291264142,7.36,32.09,6.426775701,12.42616653,4.055053739,55.37374386,7.964832069,0.037761408,4.26031378,0.413364463,0.034680068,0.001904944,4.326856875,0.34879418,0.198235332,0.007554269,3.671483381,0.279549369,0.317818589,0.33368062,2.76329876
D3_F_con_14Apr21,44300,5,2143,89.9,3_F,a_con,c_4.14,D3_con,0.351308434,7.535,90.39,1.344864159,11.91545118,6.204153699,139.3378063,8.343964433,0.063702172,1.613406556,0.915235703,0.031131871,0.006371661,5.375248388,0.813909399,0.30419628,0.010947204,4.058452846,0.058498374,0.304756247,0.510524888,6.95333132
D3_F_gr_14Apr2021,44300,5,2143,89.9,3_F,d_4.14,c_4.14,D3_grave,0.319155964,6.97,39.235,4.788025555,22.33806786,5.84653527,57.29394208,12.86404782,0.057267395,2.768685516,1.276613798,0.05016674,0.016465804,6.255151616,0.973512812,0.212593822,0.007941702,5.487689532,0.208267658,0.571330924,0.481097327,2.859121816
D3_J_con_16Apr2021,44302,7,2805,116.9,1_J,a_con,d_4.16,D3_con,0.355343073,7.54,63.98,4.718328885,11.76008608,5.336369271,54.12874597,15.41299002,0.052934534,3.4858756,1.508169434,0.052370797,0.014826462,7.831561813,0.471329104,0.340652545,0.00770972,6.960083052,0.20523602,0.300782542,0.439116994,2.701170017
D3_J_gr_16Apr2021,44302,7,2805,116.9,1_J,e_4.16,d_4.16,D3_grave,0.445407825,7.26,90.86,10.32041278,45.71776604,13.50003734,178.4987338,8.337506828,0.039497879,1.91308709,0.504758987,0.044418626,0.001008141,10.34027329,2.062779591,0.397918801,0.012548204,8.371434056,0.448913268,1.169303168,1.110885607,8.907566934
D3_H_con_16Apr2021,44302,7,2805,116.9,2_H,a_con,d_4.16,D3_con,0.340258956,7.595,68.455,3.080463209,18.42366146,6.355361277,108.3889298,13.38266902,0.038849978,3.680777437,0.631089064,0.047258406,0.00459672,6.11332987,0.78534106,0.243571153,0.000972935,4.939186549,0.133992781,0.471213875,0.522967396,5.408899135
D3_H_gr_16Apr2021,44302,7,2805,116.9,2_H,e_4.16,d_4.16,D3_grave,0.254471152,7.615,38.205,3.983904221,12.08067552,4.477082987,66.40090383,7.168824033,0.02770525,3.637360092,0.339122622,0.02227626,0.000728378,2.879882017,0.17184437,0.157140196,0.001009231,2.237575579,0.173290304,0.308982117,0.368408392,3.313583703
D3_F_con_16Apr2021,44302,7,2805,116.9,3_F,a_con,d_4.16,D3_con,0.391260501,7.905,131.1,1.62850821,14.70345156,8.786713832,245.077223,3.538323382,0.07142194,0.794847003,0.325450002,0.01391785,0.00173551,6.74112679,1.170266717,0.285724673,0.022970418,4.509641251,0.070836211,0.376063705,0.72303755,12.23001262
D3_F_gr_16Apr2021,44302,7,2805,116.9,3_F,e_4.16,d_4.16,D3_grave,0.277561475,6.8,34.485,4.526742154,11.0826769,5.197500686,51.87897777,14.05784996,0.046112168,3.243329214,1.438423794,0.063190848,0.013385004,7.134364694,0.539198462,0.321457497,0.006184404,6.316231418,0.196902455,0.283456746,0.427689832,2.588900533
D3_J_con_19Apr2021,44305,10,3757,156.5,1_J,a_con,e_4.19,D3_con,0.359846715,7.285,57.935,1.517466973,49.28605936,12.5578454,178.9484469,6.145983038,0.048181567,1.933122319,0.367937792,0.035808127,0.000930143,9.358409891,1.742346471,0.509409439,0.016117833,7.438640845,0.066006183,1.260567834,1.033354898,8.930008828
D3_J_gr_19Apr2021,44305,10,3757,156.5,1_J,f_4.19,e_4.19,D3_grave,0.438713907,6.775,263.15,43.80928972,50.29438831,14.66807772,224.0580039,3.870360804,0.045903878,1.021688387,0.208070654,0.021903893,-0.000625252,12.32608017,0.586068231,0.496902012,0.012136005,9.857624791,1.905599304,1.28635742,1.207000841,11.18109705
D3_H_con_19Apr2021,44305,10,3757,156.5,2_H,a_con,e_4.19,D3_con,0.278500169,7.56,54.82,2.022862864,13.11099554,5.35242156,87.94844782,15.04249106,0.030303606,4.137924896,0.575396499,0.042956211,0.003918689,3.608733426,0.328035834,0.223266604,0.001869364,2.748681793,0.087989696,0.335334159,0.440437898,4.388864106
D3_H_gr_19Apr2021,44305,10,3757,156.5,2_H,f_4.19,e_4.19,D3_grave,0.237019468,7.235,47.985,3.959804105,11.56322541,5.190772868,73.79632007,7.498166468,0.033150649,4.363023362,0.489151301,0.035225143,0.00275259,3.524765072,0.295901437,0.140349702,0.00758201,2.75440291,0.172242006,0.295747524,0.427136216,3.682634866
D3_F_con_19Apr2021,44305,10,3757,156.5,3_F,a_con,e_4.19,D3_con,0.362801879,7.685,138,1.61732249,18.24742243,8.812312741,205.9255598,4.217114208,0.073179989,0.95847702,0.47478914,0.018195543,0.001968971,6.437810815,1.164564757,0.25209883,0.019848228,4.481340294,0.070349659,0.466706287,0.725144023,10.27623932
D3_F_gr_19Apr2021,44305,10,3757,156.5,3_F,f_4.19,e_4.19,D3_grave,0.255512656,6.56,46.12,7.955462196,13.13797911,7.50921714,70.16611753,8.67757652,0.038062135,1.693246635,1.038937469,0.038319331,0.007638652,6.607565794,0.8688813,0.205388577,0.010059157,5.664815382,0.346043575,0.336024306,0.61791542,3.501477994
D3_J_con_23Apr2021,44309,14,4751,198,1_J,a_con,f_4.23,D3_con,0.324391974,7.085,54,1.586809963,50.45564998,11.65500556,160.2716431,6.27264674,0.062729586,1.818964614,0.376826748,0.034424847,0.000333268,8.596636977,1.866607789,0.425790449,0.002489254,6.840536815,0.069022438,1.290481939,0.959062379,7.997986081
D3_J_gr_23Apr2021,44309,14,4751,198,1_J,g_4.23,f_4.23,D3_grave,0.384958358,6.965,248.8,39.97093909,59.47291223,13.2605881,202.9841475,4.058441457,0.058727403,0.813626286,0.247410979,0.03259976,0.000625135,16.85549046,2.499675794,0.612348793,0.018298879,14.31067266,1.738640234,1.521112484,1.091181905,10.12945494
D3_H_con_23Apr2021,44309,14,4751,198,2_H,a_con,f_4.23,D3_con,0.256439843,7.47,56.805,1.739153035,10.16768337,5.323912814,90.66980366,11.04955628,0.029641465,2.75976141,0.340706101,0.040906198,0.002881592,3.544662288,0.304470203,0.237508519,2.72E-05,2.657081507,0.075648997,0.26005436,0.438091982,4.524667082
D3_H_gr_23Apr2021,44309,14,4751,198,2_H,g_4.23,f_4.23,D3_grave,0.230038341,7.35,113.05,18.45766515,18.28339037,5.596706506,85.55408187,9.245749741,0.034802427,3.753781828,0.521602817,0.028296556,0.004476497,7.661234911,0.304107283,0.148768198,-0.005853774,6.53659713,0.80286428,0.467626223,0.460539519,4.269378805
D3_F_con_23Apr2021,44309,14,4751,198,3_F,a_con,f_4.23,D3_con,0.299828837,7.61,132.6,1.523685237,19.31554424,7.417107397,248.9170378,3.494260021,0.075081802,0.839543301,0.376639897,0.011234155,0.002012952,6.988249067,0.72820149,0.301054291,0.022739268,4.630803731,0.066276663,0.494025168,0.610335931,12.42162971
D3_F_gr_23Apr2021,44309,14,4751,198,3_F,g_4.23,f_4.23,D3_grave,0.22761843,6.655,44.975,12.75619326,10.88252768,7.374666144,69.64144301,8.193452675,0.035637106,1.697089545,1.307040764,0.033230214,0.012764447,6.002635034,0.732796107,0.184670011,0.006236256,5.084833626,0.554863892,0.278337618,0.606843542,3.475295324
D3_J_con_26Apr2021,44312,17,5577,232.4,1_J,a_con,g_4.26,D3_con,0.565244147,7.22,69.655,1.800232045,66.63212674,12.12359333,147.8065985,10.82292687,0.053777124,3.691724822,0.474348337,0.047863895,0.000324044,8.86327964,1.825949129,0.513874045,0.007252385,7.140184951,0.078305788,1.70422056,0.99762134,7.37594683
D3_J_gr_26Apr2021,44312,17,5577,232.4,1_J,h_4.26,g_4.26,D3_grave,0.560302578,6.55,217.1,130.0551092,100.8094569,22.11516278,304.9413746,2.172008138,0.064213059,0.639632489,1.256227479,0.046635419,0.000684316,22.5933657,11.69454971,1.259092987,0.03662188,18.99109099,5.657086137,2.578359082,1.819803562,15.21739481
D3_H_con_26Apr2021,44312,17,5577,232.4,2_H,a_con,g_4.26,D3_con,0.375820593,7.65,62.48,2.247960897,22.22139947,6.888910943,122.0361817,11.36688805,0.037362909,3.173156615,0.537687719,0.035626574,0.003101954,5.187228452,0.546149787,0.280895432,-0.006988189,3.930693687,0.097780922,0.568346948,0.566871915,6.089933712
D3_H_gr_26Apr2021,44312,17,5577,232.4,2_H,h_4.26,g_4.26,D3_grave,0.310417733,7.64,331.7,158.1178711,96.72573206,10.39469613,135.8963753,16.81364941,0.125339425,9.853203005,1.406794851,0.081122828,0.065092784,35.25402291,24.05245206,0.153714645,0.002261729,32.49595193,6.87774915,2.47391145,0.855354547,6.781594654
D3_F_con26Apr2021,44312,17,5577,232.4,3_F,a_con,g_4.26,D3_con,0.388937717,7.62,146.7,1.387910368,21.19240742,6.961644169,193.0979508,7.589347223,0.072199948,1.427713414,0.811740856,0.024377571,0.005482717,6.410442999,0.758917077,0.344705207,0.015680999,4.497095393,0.060370781,0.542028871,0.572856957,9.636107129
D3_F_gr_26Apr2021,44312,17,5577,232.4,3_F,h_4.26,g_4.26,D3_grave,0.326968638,6.74,76.825,18.31669575,20.1778035,15.0543677,142.79926,0.840954872,0.029848922,0.255894494,1.537106213,0.019923458,0.002882575,9.58873034,1.190771011,0.273463437,0.012500045,7.866661437,0.796732449,0.516078794,1.238787715,7.12606717
D3_J_con_28Apr2021,44314,19,6570,273.7,1_J,a_con,h_4.28,D3_con,0.496424835,6.99,65.215,1.854295565,57.03308477,11.17628833,134.9982514,10.55531304,0.050488748,3.857866013,0.52178334,0.053580757,0.000409851,8.397406012,1.632560075,0.524596689,0.010808782,6.827285011,0.080657421,1.458710092,0.919669889,6.73677586
D3_J_gr_28Apr2021,44314,19,6570,273.7,1_J,i_4.28,h_4.28,D3_grave,0.51259742,6.565,327.15,123.3336449,100.0323045,25.49879593,378.2150366,1.520050885,0.059110113,0.775784837,1.911375076,0.051819663,0.000562515,21.92717154,9.955655324,1.219863771,0.046924684,17.7093019,5.364718519,2.558482199,2.098234596,18.87394763
D3_H_con_28Apr2021,44314,19,6570,273.7,2_H,a_con,h_4.28,D3_con,0.265854249,7.465,62.24,2.739452024,13.44980473,5.335690278,92.52681727,13.60262316,0.035674081,4.002250936,0.613928721,0.044380127,0.005023729,4.509899047,0.444006609,0.190246278,-0.004617679,3.511571591,0.11915961,0.343999732,0.439061121,4.617337056
D3_H_gr_28Apr2021,44314,19,6570,273.7,2_H,i_4.28,h_4.28,D3_grave,0.260515969,7.45,483.4,167.548384,54.57767031,7.506905555,106.8792213,12.91471646,0.098673422,6.72727963,0.812584577,0.055440236,0.029653041,33.45278916,1.317089124,0.108739745,0.012530162,30.98580076,7.287953903,1.395909037,0.617725205,5.333560622
D3_F_con_28Apr2021,44314,19,6570,273.7,3_F,a_con,h_4.28,D3_con,0.411698421,6.94,80.895,2.442706421,23.55771456,4.641842326,116.2382935,14.95331336,0.073071699,2.860431587,1.39007582,0.054663935,0.010510447,6.502060925,0.626019845,0.552231206,0.002231275,5.180089856,0.106251886,0.60252529,0.381966042,5.8006035
D3_F_gr_28Apr2021,44314,19,6570,273.7,3_F,i_4.28,h_4.28,D3_grave,0.319616337,6.905,82.845,32.99670979,32.79985763,26.6196021,272.408385,0.240224001,0.033352842,0.122987683,8.759830298,1.159568657,0.007010675,12.99123616,2.427486042,0.401784545,0.039054955,10.12665341,1.435277943,0.838907513,2.19046304,13.59391112
D3_J_con_30Apr2021,44316,21,7586,316.1,1_J,a_con,i_4.30,D3_con,0.403478058,7.295,62.01,1.95882669,38.39985853,10.24174666,149.0719756,8.780932369,0.034968647,1.997342437,0.491188417,0.041047399,-0.000118096,6.151548126,1.310715821,0.504625852,0.00533289,4.60901494,0.085204275,0.98213627,0.842768702,7.439092548
D3_J_gr_30Apr2021,44316,21,7586,316.1,1_J,j_4.30,i_4.30,D3_grave,0.474699301,6.63,449.5,323.1873628,99.22642006,25.09407616,377.9128848,2.230019956,0.052669248,1.433565252,3.259318529,0.055885887,0.003399445,27.93249757,9.062245738,1.231066262,0.051480926,23.44930595,14.05787717,2.537870446,2.064931179,18.85886945
D3_H_con_30Apr2021,44316,21,7586,316.1,2_H,a_con,i_4.30,D3_con,0.303699206,7.27,61.685,3.038886484,15.73001432,6.186130271,107.5280403,11.48518505,0.034308763,3.574654346,0.53230374,0.036376809,0.003555577,4.754337018,0.686256359,0.229333195,-0.011214245,3.611250855,0.132184293,0.402319649,0.509041783,5.365938433
D3_H_gr_30Apr2021,44316,21,7586,316.1,2_H,j_4.30,i_4.30,D3_grave,0.21756383,7.27,291.85,70.13113925,33.92696779,5.934858898,78.760062,10.60493889,0.064233939,5.843614231,0.73908313,0.052485672,0.010183447,20.99175846,0.765931769,0.122833379,-0.008302526,19.09242364,3.050536793,0.867735114,0.488365266,3.930338939
D3_F_con_30Apr2021,44316,21,7586,316.1,3_F,a_con,i_4.30,D3_con,0.319372824,7.25,197.42,1.231741262,8.117072247,2.630069102,68.45163001,10.7235273,0.061624206,1.87589781,1.126688285,0.038356117,0.007116549,3.619581285,0.410256066,0.289925599,-0.006571599,2.851472453,0.053577798,0.207606782,0.216422061,3.415920456
