pH,EC,Ca,P,K,S,Na,Mg,Fe,Cu,Mn,Zn,Se,Co,Al,B
6.92,55.185,161.0175111,2.324059812,41.45682021,10.91041588,2.135366221,12.1768869,2.528050149,0.045353188,0.564067467,0.063262428,0.021735367,0.001482648,11.07171577,0.570340946
7.57,44.06,67.37808336,0.373986738,13.73643046,4.000394213,2.220426697,4.714041077,3.916777175,0.041784226,0.413489439,0.035866585,0.004574387,0.00232961,7.461158025,0.253401021
6.78,41.185,43.81061967,0.485995901,12.73510236,6.203642761,3.570578864,4.530886865,2.206459845,0.033773252,1.115486289,0.034730119,-0.000166544,0.007380023,10.94821119,0.346423916
7.285,76.405,203.8010283,2.252691665,48.90572963,10.09288252,3.487937997,14.01051186,1.566789628,0.045989547,0.345019009,0.030369149,0.019853497,-0.00074764,6.547920918,0.483875254
7.635,34.07,86.08418225,0.350102469,10.39195726,3.532981275,3.722498148,5.185049629,3.133621107,0.035899048,0.301816366,0.018957126,0.010794401,0.002146357,7.273983086,0.174314983
7.005,36.965,69.33341598,0.456746958,13.04000303,6.977086204,5.841358283,7.378559696,3.363678308,0.047909241,1.010234752,0.059370004,0.002878322,0.011472441,13.48388124,0.174485566
7.2,127.7,179.9806424,2.156952874,43.86186584,9.258095187,13.69426086,12.85059286,1.795223191,0.04466782,0.424788186,0.034585991,0.017683649,-0.000871115,7.685494296,0.481220081
7.36,32.09,55.37374386,0.34879418,12.42616653,4.326856875,6.426775701,4.055053739,4.26031378,0.037761408,0.413364463,0.034680068,0.007554269,0.001904944,7.964832069,0.198235332
6.97,39.235,57.29394208,0.973512812,22.33806786,6.255151616,4.788025555,5.84653527,2.768685516,0.057267395,1.276613798,0.05016674,0.007941702,0.016465804,12.86404782,0.212593822
7.26,90.86,178.4987338,2.062779591,45.71776604,10.34027329,10.32041278,13.50003734,1.91308709,0.039497879,0.504758987,0.044418626,0.012548204,0.001008141,8.337506828,0.397918801
7.615,38.205,66.40090383,0.17184437,12.08067552,2.879882017,3.983904221,4.477082987,3.637360092,0.02770525,0.339122622,0.02227626,0.001009231,0.000728378,7.168824033,0.157140196
6.8,34.485,51.87897777,0.539198462,11.0826769,7.134364694,4.526742154,5.197500686,3.243329214,0.046112168,1.438423794,0.063190848,0.006184404,0.013385004,14.05784996,0.321457497
6.775,263.15,224.0580039,0.586068231,50.29438831,12.32608017,43.80928972,14.66807772,1.021688387,0.045903878,0.208070654,0.021903893,0.012136005,-0.000625252,3.870360804,0.496902012
7.235,47.985,73.79632007,0.295901437,11.56322541,3.524765072,3.959804105,5.190772868,4.363023362,0.033150649,0.489151301,0.035225143,0.00758201,0.00275259,7.498166468,0.140349702
6.56,46.12,70.16611753,0.8688813,13.13797911,6.607565794,7.955462196,7.50921714,1.693246635,0.038062135,1.038937469,0.038319331,0.010059157,0.007638652,8.67757652,0.205388577
6.965,248.8,202.9841475,2.499675794,59.47291223,16.85549046,39.97093909,13.2605881,0.813626286,0.058727403,0.247410979,0.03259976,0.018298879,0.000625135,4.058441457,0.612348793
7.35,113.05,85.55408187,0.304107283,18.28339037,7.661234911,18.45766515,5.596706506,3.753781828,0.034802427,0.521602817,0.028296556,-0.005853774,0.004476497,9.245749741,0.148768198
6.655,44.975,69.64144301,0.732796107,10.88252768,6.002635034,12.75619326,7.374666144,1.697089545,0.035637106,1.307040764,0.033230214,0.006236256,0.012764447,8.193452675,0.184670011
6.55,217.1,304.9413746,11.69454971,100.8094569,22.5933657,130.0551092,22.11516278,0.639632489,0.064213059,1.256227479,0.046635419,0.03662188,0.000684316,2.172008138,1.259092987
7.64,331.7,135.8963753,24.05245206,96.72573206,35.25402291,158.1178711,10.39469613,9.853203005,0.125339425,1.406794851,0.081122828,0.002261729,0.065092784,16.81364941,0.153714645
6.74,76.825,142.79926,1.190771011,20.1778035,9.58873034,18.31669575,15.0543677,0.255894494,0.029848922,1.537106213,0.019923458,0.012500045,0.002882575,0.840954872,0.273463437
6.565,327.15,378.2150366,9.955655324,100.0323045,21.92717154,123.3336449,25.49879593,0.775784837,0.059110113,1.911375076,0.051819663,0.046924684,0.000562515,1.520050885,1.219863771
7.45,483.4,106.8792213,1.317089124,54.57767031,33.45278916,167.548384,7.506905555,6.72727963,0.098673422,0.812584577,0.055440236,0.012530162,0.029653041,12.91471646,0.108739745
6.905,82.845,272.408385,2.427486042,32.79985763,12.99123616,32.99670979,26.6196021,0.122987683,0.033352842,8.759830298,1.159568657,0.039054955,0.007010675,0.240224001,0.401784545
6.63,449.5,377.9128848,9.062245738,99.22642006,27.93249757,323.1873628,25.09407616,1.433565252,0.052669248,3.259318529,0.055885887,0.051480926,0.003399445,2.230019956,1.231066262
7.27,291.85,78.760062,0.765931769,33.92696779,20.99175846,70.13113925,5.934858898,5.843614231,0.064233939,0.73908313,0.052485672,-0.008302526,0.010183447,10.60493889,0.122833379
6.44,93.095,181.6497834,1.406588775,24.16269813,10.77153365,22.29804307,18.67871601,0.252131686,0.027682443,10.66354546,0.062699065,0.014520437,0.009517599,0.653024498,0.255233512
6.11,320.15,473.109744,33.99737214,175.3611067,30.20842219,198.4984492,37.19657276,1.73192546,0.070498719,18.28442295,0.162078629,0.059120711,0.012368144,2.640722284,2.073559399
6.88,180,100.8835693,0.529668711,24.99587125,15.9360525,55.01927933,6.673178898,0.575881857,0.037850698,0.037729334,0.079282884,0.019971749,0.003139691,1.117340991,0.176231969
6.25,379.3,317.2219938,3.907099427,75.5331532,27.82165009,80.57157281,35.33269693,0.374594344,0.044120501,33.06444669,0.129052664,0.048045461,0.044336247,0.387980124,0.408997888
5.84,345.25,445.3967215,41.6686971,190.6789516,33.54817616,316.4255468,37.71116389,3.620134722,0.084267267,25.72862483,0.190116909,0.078356341,0.023501125,5.890645867,1.868722562
6.57,398.3,248.7990522,15.38624468,105.4366211,44.31325456,176.6037724,21.88077491,1.598840819,0.079686669,10.81865976,0.050460843,0.035214191,0.049006709,1.539235841,0.437131146
5.735,324,301.2567448,2.451278005,66.78522192,21.94538503,73.79522559,33.46671881,0.364978693,0.040903864,47.42755039,0.140096179,0.043316882,0.061423115,0.568160625,0.450214711
6.5,238.55,267.4085879,3.997668027,94.22425779,23.66103023,154.6368961,18.65124726,3.172833116,0.06755942,1.623410279,0.284619234,0.052356648,0.003116348,7.520275271,1.065554428
6.6,297.9,128.5384864,3.731447341,75.66101345,30.97156319,146.7813832,10.36143422,4.069507064,0.099174707,2.76080097,0.04623052,0.015205763,0.028041543,5.721568144,0.38998841
5.755,263.5,239.4610863,4.556801313,59.71656695,25.13811374,93.05260179,28.1477879,1.163716626,0.057111365,37.63222544,0.148826053,0.048347863,0.069752063,1.425282275,0.396841872
5.81,457.45,571.4513851,32.54405377,165.0189064,31.55316393,307.4278758,42.17544124,5.364479489,0.075689915,31.73074494,0.272330975,0.054918845,0.026273414,4.779283968,1.587041389
6.71,441,93.50422118,1.214996701,65.3791169,32.94587924,155.2439782,7.116733062,5.13152166,0.091009501,0.971739289,0.084506929,0.015987183,0.020420618,9.535000113,0.292060449
5.475,302.8,241.5359977,28.2841674,124.5043746,34.37886549,177.0099011,33.66372355,1.958237457,0.073738299,67.95552506,0.178260842,0.071533586,0.135012093,1.715702762,0.482053169
5.48,196.45,216.3318231,0.910523553,66.67952911,12.48161475,178.6017713,13.53455771,2.523064877,0.053808183,0.570023404,0.108810127,0.031923407,0.001244461,6.273561613,0.645242108
5.885,294.2,150.7844466,5.96695145,93.33263095,26.53614808,165.2661258,13.47950723,3.482529085,0.087282435,7.009809795,0.074107932,0.014064742,0.039221385,3.283281559,0.409472149
6.19,232.15,353.3990244,1.748601167,38.74426731,14.26080573,41.2279604,36.81721844,0.36181955,0.037517646,69.96299604,0.137935099,0.05903637,0.078926586,0.784187139,0.316142994
5.875,307.35,384.5975077,15.37462625,125.3507626,28.89094429,192.5780603,29.08604951,3.762183467,0.071919406,7.405448017,0.137447614,0.038784438,0.010959892,4.564060051,1.313730479
6.47,383.15,197.5861786,19.1194477,105.1933565,42.73063922,175.2960059,18.85513726,3.589066236,0.084752412,12.46355965,0.066287773,0.029213631,0.060751666,2.288718594,0.376781176
5.625,348.8,340.0201658,3.912900324,86.62629301,18.50909845,67.34356763,38.02942868,1.594554388,0.054611455,105.5196266,0.210128563,0.081375293,0.2167321,1.219496946,0.379247186
5.79,304.65,334.4302222,14.61478385,129.8903748,27.16628351,160.1614644,26.94104935,4.730068758,0.079476498,7.291750466,0.152969561,0.040749126,0.015009702,7.162518571,1.264432705
6.03,397.35,194.1698647,20.68316582,146.6192876,60.76713244,306.1341542,23.10374382,3.628826428,0.087823113,18.68940363,0.134471014,0.031677383,0.091575129,1.736487304,0.459915305
5.505,263.3,288.2412763,11.78859552,84.74277395,33.31027028,105.5229929,32.12185302,2.438729773,0.058468216,64.92924013,0.198257054,0.060133816,0.146881189,1.507904044,0.352921178
6.01,485.15,411.116006,15.90254717,100.9928394,31.17621057,188.1671019,29.39640106,8.655566992,0.061494808,5.683127641,0.11574782,0.026427113,0.007292547,8.967321079,1.102721436
6.035,305.5,301.9727327,4.448055752,72.9974712,18.57768191,115.2620928,24.24128444,5.553986075,0.055640191,14.10864896,0.073793993,0.014152292,0.031664222,1.74916526,0.437129973
5.705,307.35,249.4589992,10.07383863,85.2774966,22.09157054,117.4442384,30.80348718,1.688705217,0.061610214,85.21895446,0.204480028,0.070655563,0.179650527,1.490348358,0.329029524
5.785,481.25,513.1357144,31.12857727,136.6690017,29.43071388,239.5134982,34.4399705,7.5705692,0.081278726,26.07542545,0.230854645,0.036783933,0.035537218,5.987526406,1.21024014
5.98,506.8,424.2765904,13.10396148,136.4239768,39.41283637,178.2014447,37.18304471,0.453222559,0.076430791,50.53070118,0.150014505,0.045201849,0.14288702,0.477723167,0.427708928
5.75,316.05,263.9505237,14.10216349,85.9431551,24.20107773,105.74961,36.61604515,6.705104628,0.069626321,110.1448569,0.288960613,0.087406708,0.301169737,4.042556245,0.396544325
5.9,454.3,430.4227906,9.771701698,120.0352147,32.00896471,241.7646535,30.44799231,6.818577405,0.104650287,13.12442255,0.080946795,0.051149803,0.028379775,6.622738711,1.068582596
6.055,316.3,191.2851512,6.610943,96.88883646,31.41328462,166.1652387,17.25790916,2.546579739,0.067928289,13.18651399,0.059533677,0.018617471,0.056936665,2.110775126,0.359772225
6.08,181,117.7392157,3.214051738,76.44123933,20.63019183,64.54832828,16.14714948,2.816966163,0.070790993,37.2305467,0.076650989,0.029095062,0.133358529,7.994876317,0.343417128
6.81,343,228.7052858,7.281318822,137.4738779,36.48415103,223.7760711,18.52638629,7.488767197,0.137807697,3.32875673,0.167620878,0.024755946,0.017866739,20.95162393,0.748922445
5.91,396.2,74.37253409,32.17233847,124.2351156,40.71815781,274.9879566,8.958648463,7.72042306,0.150375808,8.063881426,0.126127514,0.017854401,0.085952248,13.35451043,0.410511068
5.655,338.8,191.7358475,17.30210219,103.4038794,35.32148811,95.05539588,27.09519083,5.674140056,0.076038361,72.13455855,0.247229108,0.065332388,0.289608484,8.941141991,0.270732437
6.335,264,287.9955644,18.78883728,126.5393184,25.23909479,182.2548857,24.26804667,10.4637468,0.110531619,9.051960483,0.158208827,0.054431292,0.031920792,24.47230879,1.10607075
6.13,468.15,122.5456336,34.7045783,160.6848896,45.75262522,251.7298053,18.96292445,6.444000194,0.108770214,27.3665628,0.167401234,0.036972524,0.179144566,4.887189777,0.316041038
6.105,159.65,156.6850994,4.733844557,70.14996473,19.35021798,75.0480673,18.50329569,7.551019366,0.074806033,35.02416746,0.093398655,0.036760757,0.116302445,11.62574256,0.264839599
6.68,216.75,247.2463268,27.2777666,124.8055602,33.11216546,157.6035338,20.63014492,4.229744095,0.125638112,9.439228202,0.150190168,0.045632389,0.026483195,10.44644744,1.02546114
6.41,324.75,109.8180159,25.84271089,109.7828932,31.80362723,185.9745621,14.32270662,3.517013015,0.079825958,15.35978873,0.104861184,0.027479849,0.090740078,5.025866615,0.348211777
5.985,236.8,198.4725998,0.999456201,55.44875539,13.86632206,62.76320489,23.41174547,1.168339228,0.040763409,36.35349218,0.061041665,0.039265285,0.060767989,1.481955948,0.27214561
6.945,293.8,231.2395983,8.289574415,116.8710871,38.15268984,262.9914277,19.36864387,12.12870601,0.145160177,5.090544084,0.265583415,0.026093202,0.035305992,30.34978256,0.436585529
6.3,261.75,209.5745103,2.843725367,53.38668345,21.33602074,123.4529586,16.47612676,1.702720559,0.056946972,12.89053358,0.046642167,0.016773327,0.048301496,1.201567413,0.302503012
6.27,217.85,187.9687812,1.754981142,57.22504359,13.72109871,71.44315947,24.78646706,1.10142892,0.049737305,101.5995885,0.139401566,0.075063463,0.195729899,1.73860068,0.244727158
5.755,562.5,305.7043396,23.8914043,129.8116182,39.40930903,306.7534805,25.86154996,12.73735249,0.154520677,23.93684397,0.215370587,0.047628372,0.073963462,36.21885078,1.136519843
6.21,346.45,149.6889859,9.16939189,86.83176387,24.09494299,170.1446703,15.12284608,9.554167776,0.097316484,29.37228258,0.106986031,0.038128128,0.156211408,15.46131261,0.384485986
6.005,254.65,82.80376604,3.018151158,60.07691463,11.29114218,84.12635676,12.61239335,11.20120632,0.07238781,29.93795928,0.131574165,0.037038846,0.115922513,24.54665256,0.344099171
6.575,437.75,328.2617468,34.99453018,200.3914278,55.29283271,305.9802302,32.16186795,24.6325381,0.194053743,16.84555337,0.832655306,0.026219581,0.065503446,74.16753928,0.762772889
5.94,316.85,112.7394565,9.459751293,110.8009474,28.39142519,193.8855715,13.92589295,32.17228036,0.150631358,17.77983053,0.312558998,0.015627665,0.208504333,42.68153159,0.36577825
6.02,200.55,85.26742606,1.377174441,29.62454157,11.83785521,53.85756739,13.90242973,25.16794667,0.042960249,6.476835328,0.132110669,0.018959798,0.036932494,59.90549633,0.28843636
6.875,665.15,273.763131,15.85380124,148.9210841,48.94865708,398.0216377,25.12861437,22.78280364,0.220161957,4.173485595,0.602548836,0.023113131,0.04800939,70.15026333,0.581703654
6.12,438.25,163.0060544,41.47739569,137.0179646,40.08145509,224.9478139,18.21279554,43.33421758,0.17183622,26.82448518,0.633328993,0.028718969,0.757261224,25.88465263,0.438166207
5.945,264.25,90.89464041,1.616571982,45.58149459,11.32218713,75.11849405,12.41246959,9.888254587,0.180297016,29.16579869,0.244376359,0.028223178,0.80010683,21.95538583,0.211335513
6.445,457.1,210.0586052,3.579133669,91.90713485,27.39282701,232.5553891,18.37852229,10.55273752,0.172168538,3.859935726,0.140606505,0.009941823,0.030814908,29.88939134,0.555000003
5.85,243.25,168.697679,13.46904625,127.3575992,28.18619415,189.4234475,18.57843939,47.23506468,0.225241212,31.36968874,0.356165182,0.027402227,0.603780453,58.45765863,0.397735245
5.93,97.825,84.93870365,2.875030892,42.67009754,14.22322433,82.33011284,11.04898908,15.15825755,0.079704559,11.59287648,0.176695516,0.025225588,0.076945311,34.28210389,0.326164777
